"ITEM_ID","CATEGORY_L1","CATEGORY_L2","PRICE","DESCRIPTION","VENUE_CITY","VENUE_STATE","IS_ONLINE","TECHNICAL_LEVEL","CREATION_TIMESTAMP"
"3","Other","Other",0.0,"The Brooklyn Tech Expo TECH4LIFE Edition is Brooklyn s largest conference event on February 11, 2025, organized by Pulse NYC at the prime Dumbo location. This unique expo focuses on technology s role in everyday life, catering to Brooklyn s thriving tech and business communities. We re expecting a dynamic crowd of over 1,000 professionals , entrepreneurs, and tech enthusiasts. CLICK HERE TO REGISTER AND GET 50 OFF TICKETS - use promo code MEETUP50 at check out Limited to 50 Tickets Only! If your company is interested in sponsoring or exhibiting at the expo , please contact us for details . This presents an excellent opportunity for your company to network and access the untapped Brooklyn tech market. Attendees will have the chance to explore a diverse lineup of innovative businesses and exhibitors showcasing cutting-edge solutions that bridge technology with daily life. The event features an array of seminars covering topics such as smart home tech, health tech innovations, and the ...","BROOKLYN","NY",False,0.5,1737849639
"4","Other","Other",0.0,"Join us on January 29 for a chance to connect, learn, and get inspired by the latest and greatest in AI. Whether you re a pro at AI or just getting started, this event is all about building our community and shaping the future of AI development. Get ready for an evening packed with awesome sessions, discussions, and networking opportunities! Let s dive into the exciting world of AI together! Agenda 6 00 PM ET Welcome and introduction 6 05 PM ET to 8 00 PM ET Program 8 00 PM ET to 9 00 PM ET Networking Program Sessions Session Title Session Description Speaker ------------- ------------- ------------- Empowering Enterprises with LLM Agents Assistants for Data-Driven Insights Large Language Model LLM agents are emerging as powerful tools that can revolutionize how organizations interact with their data. This session will delve into the concept of LLM agents and their potential to transform internal operations by creating intelligent virtual assistants on top of your datawarehouse. We ...","New York","NY",False,0.5,1737849639
"5","Other","Other",0.0,"All languages welcome! Practice your English, and help other people practice English Practica tu español, y ayuda a otros a practicar español Pratiquez le français, et aidez les autres à pratiquer le français 练习说中文 而帮助别人练习说中文 RSVP on Meetup is required to join this event. Please comment with the languages you are coming to speak and practice! Stay in touch Facebook group Instagram Telegram We have an updates group on Whatsapp - please comment if you want to be added. Who is this meetup for? Anyone who is learning a language and wants to practice speaking with native speakers and get tips from other learners! All languages and levels are welcome! How it works Please look for an organizer when you arrive and we ll help you make a nametag and get seated We usually gather around 1-3 tables depending on the languages people want to practice. Usually we get interest in English, Spanish, French Chinese. Occasionally Portuguese, Japanese more! If you comment with the language you want to pr...","Brooklyn","NY",False,0.5,1737849639
"6","Other","Other",0.0,"Many leaders believe that being accountable is a trait you either have or don t have by the time you enter the workforce. But often, leaders are also unwittingly creating conditions that make it harder for others to be accountable. In our session, we ll share strategies for fostering a team culture where members take ownership of their work and help you find a way through your own accountability challenges. About Fiona Siseman Fiona is a leadership coach and co-founder of Frank Eddy Leadership, Inc., where she helps leaders in tech especially over-thinkers and self-doubters build self-awareness, resilience, and collaborative leadership practices to thrive in fast-paced, high-growth environments. Before launching F E, Fiona built and led software development organizations across project management, engineering leadership, agile coaching, and operations, at one point leading a cross-functional team of 130 people. She is endlessly curious about human behavior What is driving this? Why ...","New York","NY",False,0.5,1737849639
"7","Other","Other",0.0,"NOTICE over the next 6 months we will be transitioning this meetup group from meetup.com to Cloud Native Community Groups platform, hosted by CNCF. Please help us by re-joining this group at Please sign up for this specific event at Thank you! - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Welcome back New York Kubernetes and Cloud Native community! We re excited to kick off the new year with a meet-up at Amazon s office focused on Kubernetes autoscaling for the cloud! Join us for food, networking, and talks on two open source autoscaling solutions in the Cloud Native ecosystem Karpenter and KEDA. Deploying applications on Kubernetes is fast and easy. But as the requests and number of users increase we need to make sure there are mechanisms in place to guarantee the expected performance. Scaling in Kubernetes is multi-dimensional and there are no specific settings or recommendations that work in every situation...","New York","NY",False,0.5,1737849639
"8","Other","Other",0.0,"DETAILS LET S ALL GO TO The National Museum of the American Indian! On Saturday February 8th from 1 00pm - 3 30pm . The National Museum of the American Indian is a branch of the National Museum of the American Indian at the Alexander Hamilton U.S. Custom House in Manhattan, New York City. The museum is part of the Smithsonian Institution. The center features contemporary and historical exhibits of art and artifacts by and about Native Americans. The center has its origin in the Museum of the American Indian founded by George Heye in 1916. It became part of the national museum and Smithsonian in 1987. Here is a link to a map of the museum chrome-extension efaidnbmnnnibpcajpcglclefindmkaj ALL ABOUT THE MUSEUM The permanent collection of the National Museum of the American Indian is called Infinity of Nations, and is designed to show the scope of the Smithsonian s collection. Organized by geographic regions including Central and South America , the exhibit displays over 700 items and c...","New York","NY",False,0.5,1737849639
"9","Other","Other",0.0,"The concept of our language event is to provide a relaxed and friendly atmosphere for a gathering of folks to practice languages whilst making new friends and sharing experiences with people from all around the globe. Please look for an organizer when you arrive and we ll help you make a nametag and get seated. There is a coffee shop and public restrooms at this venue. The fee is to cover group costs Cash or Venmo only 3 Please note, this is a social event and not a dating event so please avoid any kind of interaction that may make other attendees feel uncomfortable. If you feel like someone is acting inappropriately, please approach one of the organizers so that we can handle it.","New York","NY",False,0.5,1737849639
"10","Other","Other",0.0,"PLEASE READ THE DESCRIPTION This time, as part of the Neverwinter cultural events series, we are going to try delicious Lanzhou cuisine in Manhattan s Two Bridges area. Ma Baozi, Baihe Tao, Jincheng Baita and Babao, Baisui Ji Pinyuan , Jinyu Facai, Lanzhou Roast Lamb, and of course Lamian are waiting for us. We re going Dutch as always which means that you have to pay for yourself . February 2 Sunday Starts at 5 30 PM and will last for about 90 min. Space is limited to 12 persons. Anyone who RSVP must show up. The address Lanzhou Ramen 107 E Broadway, New York, NY 10002 Our FB group www.facebook.com groups 411244719715342 Our Meetup group www.meetup.com tri-state-free-parties Whatsapp group Telegram Whatsapp group Telegram Please apply via below methods Wechat cozmo31 IG coz_its_mo LINE cozmo31 www.meetup.com messages ?new_convo true member_id 28694880 Disclaimer of liability By participating in this activity you agree that organizers are not to be held responsible for any damages, ...","New York","ny",False,0.5,1737849639
"11","Other","Other",0.0,"IMPORTANT Non-members welcome to Join us Blood On The ClockTower . MEETUP Time 2pm to 7pm Location Hudson Eats Brookfield Place 230 Vesey St, New York, NY 10281 Near DESCRIPTION We will bring our board games and card games. Come join the fun, meet up with like-minded board games players. POTENTIAL LIST OF GAMES Your Board games - You can list them on the comments Avalon Puerto Rico Root Blood on the Clock Tower Century Spice Road Secret Hitler Exploding Kittens Saboteur RECOMMENDED CLOTHES TO WEAR N A - Event is Indoors DISCLAIMER Asian Outdoors LEGAL DISCLAIMER WAIVER OF LIABILITY . You agree when you sign up for this group or any of the events that you have read and understand the below. If you join us for an event, please understand that you are responsible for your own preparedness and well-being and will hold no one else liable in case of injury or mishap. You agree not to hold the Organizer , Assistant Organizers , or any other Members responsible for any injuries, mishaps, or...","New York","NY",False,0.5,1737849639
"12","Other","Other",0.0,"Let s all go see Groundhog Day! The classic movie playing on Sunday February 2nd Groundhog Day! , 2025 at 11 00am at The Film Forum. LINK TO PURCHASE TICKETS You will purchase your own tickets below. The seats at The Film Forum are first come, you pick your own seat! So, I would get their by no later than 10 30am for the movie if you want a good seat. The cost for the movie is 14.50. The link to buy your tickets are below. THE MOVIE A weather man is reluctantly sent to cover a story about a weather forecasting rat as he calls it . This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the following day, he discovers that it s Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realization that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing every day. PLAYING AT A HISTORIC THEATRE! The Film Forum is a nonprofit movie theater at 209 West Houston ...","New York","NY",False,0.5,1737849639
